Episode,Reward
0,10
1,11
2,13
3,13
4,11
5,13
6,4
7,13
8,13
9,12
10,13
11,12
12,13
13,13
14,13
15,11
16,13
17,7
18,13
19,12
20,13
21,13
22,13
23,11
24,13
25,21
26,13
27,10
28,13
29,23
30,23
31,12
32,10
33,19
34,23
35,13
36,13
37,9
38,4
39,13
40,13
41,13
42,13
43,23
44,21
45,10
46,13
47,13
48,23
49,23
50,21
51,13
52,13
53,7
54,11
55,17
56,33
57,13
58,23
59,21
60,11
61,12
62,22
63,37
64,31
65,17
66,23
67,23
68,29
69,9
70,13
71,23
72,19
73,12
74,13
75,23
76,22
77,21
78,13
79,26
80,23
81,33
82,23
83,4
84,30
85,13
86,23
87,31
88,13
89,43
90,13
91,13
92,13
93,33
94,13
95,30
96,13
97,23
98,23
99,23
100,63
101,13
102,23
103,21
104,13
105,33
106,73
107,26
108,18
109,13
110,13
111,23
112,38
113,16
114,17
115,13
116,9
117,13
118,23
119,23
120,33
121,23
122,23
123,23
124,13
125,46
126,23
127,12
128,13
129,23
130,33
131,53
132,53
133,56
134,33
135,23
136,11
137,56
138,13
139,23
140,19
141,25
142,13
143,4
144,49
145,12
146,9
147,9
148,13
149,83
150,45
151,13
152,13
153,9
154,40
155,13
156,10
157,8
158,43
159,43
160,43
161,13
162,13
163,13
164,33
165,33
166,16
167,33
168,13
169,9
170,21
171,17
172,27
173,27
174,78
175,23
176,23
177,53
178,43
179,53
180,30
181,23
182,23
183,43
184,47
185,63
186,20
187,13
188,33
189,43
190,8
191,17
192,10
193,13
194,63
195,28
196,17
197,63
198,23
199,23
200,33
201,13
202,31
203,52
204,47
205,33
206,29
207,33
208,23
209,13
210,25
211,43
212,53
213,42
214,8
215,33
216,22
217,23
218,52
219,22
220,53
221,6
222,13
223,53
224,20
225,25
226,15
227,53
228,13
229,43
230,33
231,55
232,30
233,41
234,33
235,38
236,63
237,26
238,11
239,10
240,23
241,53
242,13
243,18
244,61
245,53
246,11
247,96
248,83
249,11
250,13
251,11
252,33
253,23
254,23
255,33
256,43
257,12
258,63
259,53
260,43
261,23
262,13
263,37
264,28
265,26
266,40
267,28
268,8
269,73
270,18
271,33
272,23
273,173
274,11
275,17
276,13
277,33
278,43
279,53
280,68
281,32
282,38
283,13
284,18
285,43
286,33
287,53
288,13
289,13
290,26
291,13
292,23
293,23
294,59
295,43
296,33
297,53
298,13
299,33
300,21
301,23
302,43
303,13
304,23
305,33
306,19
307,33
308,63
309,43
310,30
311,21
312,43
313,13
314,23
315,14
316,23
317,23
318,83
319,43
320,57
321,23
322,13
323,13
324,13
325,33
326,18
327,13
328,23
329,23
330,53
331,13
332,8
333,13
334,33
335,23
336,27
337,23
338,43
339,33
340,29
341,30
342,43
343,86
344,63
345,36
346,32
347,33
348,33
349,43
350,17
351,43
352,23
353,23
354,32
355,13
356,23
357,33
358,33
359,35
360,33
361,25
362,13
363,23
364,23
365,26
366,13
367,23
368,33
369,65
370,63
371,35
372,23
373,23
374,13
375,23
376,13
377,41
378,37
379,63
380,28
381,23
382,43
383,53
384,33
385,18
386,54
387,73
388,12
389,15
390,11
391,23
392,13
393,15
394,23
395,23
396,23
397,23
398,53
399,33
400,66
401,30
402,83
403,33
404,17
405,35
406,5
407,83
408,33
409,33
410,45
411,22
412,23
413,23
414,8
415,33
416,33
417,63
418,63
419,43
420,24
421,23
422,63
423,43
424,53
425,11
426,53
427,23
428,43
429,53
430,33
431,53
432,13
433,13
434,33
435,53
436,73
437,4
438,12
439,69
440,33
441,28
442,113
443,43
444,53
445,57
446,13
447,53
448,83
449,83
450,63
451,24
452,33
453,33
454,43
455,23
456,33
457,20
458,53
459,23
460,33
461,73
462,13
463,61
464,53
465,33
466,63
467,63
468,13
469,13
470,21
471,33
472,33
473,113
474,73
475,23
476,23
477,88
478,23
479,53
480,43
481,13
482,11
483,42
484,12
485,73
486,113
487,12
488,33
489,13
490,123
491,33
492,43
493,113
494,53
495,43
496,23
497,23
498,33
499,23
500,33
501,113
502,129
503,19
504,33
505,14
506,103
507,43
508,33
509,20
510,43
511,33
512,10
513,10
514,23
515,23
516,43
517,43
518,43
519,33
520,23
521,43
522,13
523,33
524,33
525,38
526,63
527,23
528,43
529,71
530,33
531,63
532,53
533,33
534,13
535,53
536,33
537,93
538,23
539,39
540,83
541,33
542,23
543,10
544,23
545,23
546,13
547,73
548,41
549,13
550,33
551,23
552,7
553,13
554,19
555,13
556,7
557,13
558,33
559,7
560,23
561,13
562,23
563,53
564,11
565,23
566,23
567,93
568,19
569,33
570,123
571,13
572,23
573,73
574,23
575,33
576,33
577,43
578,63
579,47
580,93
581,23
582,33
583,43
584,23
585,53
586,39
587,23
588,63
589,13
590,73
591,73
592,19
593,53
594,23
595,43
596,33
597,13
598,21
599,53
600,23
601,13
602,23
603,13
604,73
605,29
606,13
607,63
608,23
609,53
610,33
611,13
612,21
613,23
614,43
615,33
616,73
617,33
618,23
619,13
620,53
621,43
622,23
623,13
624,43
625,116
626,13
627,183
628,43
629,23
630,33
631,13
632,53
633,33
634,33
635,12
636,53
637,43
638,10
639,152
640,13
641,33
642,23
643,33
644,23
645,213
646,33
647,33
648,13
649,37
650,38
651,18
652,33
653,33
654,22
655,53
656,23
657,33
658,33
659,43
660,23
661,33
662,33
663,13
664,13
665,61
666,63
667,13
668,113
669,13
670,123
671,23
672,43
673,23
674,23
675,99
676,23
677,13
678,22
679,23
680,23
681,23
682,13
683,53
684,123
685,83
686,91
687,23
688,63
689,13
690,93
691,13
692,23
693,13
694,53
695,63
696,49
697,53
698,23
699,13
700,13
701,13
702,93
703,41
704,63
705,161
706,59
707,23
708,82
709,33
710,13
711,13
712,33
713,23
714,13
715,43
716,13
717,23
718,5
719,83
720,23
721,73
722,11
723,53
724,93
725,63
726,13
727,33
728,43
729,103
730,73
731,33
732,13
733,23
734,23
735,31
736,93
737,43
738,93
739,23
740,23
741,23
742,13
743,225
744,13
745,43
746,13
747,33
748,53
749,14
750,87
751,33
752,43
753,163
754,23
755,13
756,123
757,73
758,23
759,53
760,33
761,23
762,23
763,53
764,23
765,91
766,23
767,43
768,33
769,23
770,253
771,23
772,24
