Episode,Reward
0,5
1,13
2,4
3,13
4,6
5,13
6,5
7,13
8,6
9,8
10,8
11,18
12,13
13,13
14,5
15,23
16,5
17,13
18,5
19,13
20,6
21,8
22,6
23,5
24,13
25,5
26,13
27,8
28,4
29,8
30,4
31,8
32,11
33,13
34,13
35,19
36,23
37,23
38,13
39,13
40,8
41,6
42,23
43,4
44,13
45,13
46,13
47,13
48,4
49,13
50,13
51,7
52,13
53,29
54,18
55,5
56,13
57,13
58,13
59,13
60,23
61,13
62,20
63,6
64,4
65,23
66,7
67,13
68,12
69,4
70,13
71,7
72,19
73,8
74,13
75,13
76,13
77,13
78,8
79,9
80,8
81,23
82,13
83,13
84,13
85,10
86,13
87,8
88,4
89,13
90,9
91,13
92,13
93,13
94,8
95,13
96,13
97,8
98,13
99,13
100,6
101,9
102,22
103,13
104,13
105,13
106,12
107,17
108,19
109,13
110,13
111,13
112,13
113,13
114,10
115,5
116,13
117,13
118,19
119,13
120,13
121,23
122,4
123,11
124,13
125,13
126,7
127,13
128,37
129,11
130,13
131,23
132,15
133,13
134,12
135,13
136,18
137,7
138,13
139,13
140,13
141,13
142,4
143,13
144,4
145,13
146,18
147,13
148,13
149,6
150,13
151,13
152,16
153,16
154,23
155,4
156,13
157,11
158,17
159,13
160,13
161,13
162,11
163,22
164,13
165,13
166,13
167,13
168,13
169,8
170,11
171,15
172,11
173,6
174,13
175,13
176,8
177,13
178,13
179,13
180,11
181,11
182,13
183,13
184,13
185,6
186,13
187,19
188,11
189,9
190,13
191,13
192,13
193,9
194,17
195,23
196,13
197,34
198,13
199,13
200,13
201,15
202,23
203,10
204,12
205,13
206,13
207,13
208,37
209,13
210,13
211,20
212,13
213,13
214,23
215,11
216,13
217,13
218,4
219,5
220,23
221,12
222,13
223,33
224,23
225,13
226,43
227,43
228,13
229,6
230,13
231,13
232,13
233,13
234,13
235,13
236,13
237,13
238,12
239,15
240,13
241,22
242,13
243,13
244,19
245,12
246,23
247,13
248,12
249,11
250,13
251,13
252,13
253,13
254,13
255,13
256,18
257,13
258,13
259,8
260,13
261,13
262,12
263,13
264,17
265,23
266,4
267,15
268,15
269,13
270,19
271,13
272,13
273,13
274,13
275,11
276,13
277,13
278,13
279,12
280,13
281,13
282,13
283,13
284,8
285,13
286,13
287,10
288,9
289,13
290,13
291,6
292,13
293,13
294,5
295,13
296,15
297,17
298,17
299,13
300,13
301,4
302,5
303,10
304,13
305,6
306,11
307,13
308,23
309,18
310,33
311,13
312,13
313,4
314,6
315,6
316,13
317,20
318,13
319,23
320,16
321,23
322,13
323,13
324,13
325,22
326,13
327,13
328,16
329,12
330,28
331,13
332,13
333,13
334,13
335,13
336,12
337,13
338,13
339,13
340,12
341,9
342,22
343,13
344,13
345,8
346,13
347,13
348,13
349,9
350,13
351,13
352,13
353,13
354,17
355,13
356,12
357,13
358,12
359,10
360,13
361,13
362,18
363,13
364,13
365,13
366,4
367,23
368,13
369,13
370,29
371,43
372,13
373,8
374,13
375,23
376,19
377,18
378,13
379,13
380,23
381,6
382,13
383,13
384,13
385,12
386,13
387,13
388,13
389,13
390,13
391,11
392,13
393,13
394,13
395,21
396,13
397,13
398,13
399,13
400,13
401,23
402,13
403,8
404,13
405,13
406,13
407,9
408,13
409,26
410,13
411,13
412,33
413,13
414,13
415,13
416,13
417,13
418,13
419,13
420,23
421,15
422,13
423,13
424,13
425,13
426,20
427,13
428,23
429,13
430,12
431,13
432,12
433,13
434,13
435,13
436,13
437,20
438,13
439,5
440,6
441,6
442,17
443,12
444,13
445,23
446,13
447,13
448,23
449,23
450,16
451,13
452,18
453,13
454,13
455,13
456,13
457,13
458,9
459,13
460,33
461,23
462,10
463,13
464,13
465,13
466,20
467,13
468,13
469,13
470,20
471,23
472,15
473,13
474,22
475,13
476,9
477,13
478,11
479,23
480,5
481,18
482,41
483,12
484,4
485,16
486,17
487,13
488,23
489,23
490,22
491,12
492,4
493,15
494,12
495,23
496,23
497,13
498,12
499,13
500,33
501,23
502,13
503,6
504,13
505,12
506,5
507,13
508,13
509,31
510,12
511,13
512,16
513,13
514,13
515,13
516,13
517,31
518,4
519,29
520,13
521,13
522,13
523,9
524,18
525,13
526,4
527,13
528,13
529,16
530,13
531,13
532,23
533,6
534,13
535,13
536,22
537,13
538,13
539,13
540,20
541,12
542,12
543,12
544,20
545,9
546,6
547,13
548,13
549,13
550,19
551,23
552,7
553,15
554,20
555,12
556,13
557,4
558,13
559,12
560,13
561,13
562,13
563,33
564,13
565,9
566,13
567,22
568,6
569,23
