Episode,Reward
0,4
1,4
2,4
3,4
4,4
5,4
6,4
7,4
8,4
9,4
10,4
11,4
12,4
13,4
14,4
15,4
16,6
17,4
18,6
19,4
20,4
21,6
22,4
23,4
24,4
25,4
26,4
27,7
28,4
29,4
30,4
31,4
32,4
33,4
34,4
35,6
36,4
37,4
38,4
39,4
40,4
41,4
42,6
43,4
44,4
45,4
46,4
47,4
48,4
49,4
50,6
51,6
52,4
53,4
54,6
55,4
56,4
57,7
58,4
59,6
60,4
61,4
62,4
63,5
64,4
65,4
66,4
67,4
68,6
69,4
70,7
71,4
72,6
73,4
74,4
75,4
76,6
77,4
78,6
79,4
80,4
81,6
82,7
83,4
84,4
85,4
86,7
87,7
88,4
89,5
90,4
91,4
92,6
93,4
94,4
95,4
96,4
97,4
98,4
99,7
100,4
101,8
102,7
103,4
104,6
105,7
106,6
107,5
108,4
109,4
110,4
111,6
112,6
113,4
114,4
115,6
116,4
117,6
118,4
119,7
120,4
121,4
122,6
123,4
124,4
125,4
126,4
127,4
128,6
129,4
130,4
131,7
132,4
133,4
134,4
135,4
136,4
137,4
138,4
139,4
140,4
141,4
142,4
143,4
144,4
145,4
146,7
147,4
148,4
149,6
150,6
151,4
152,6
153,4
154,4
155,6
156,4
157,4
158,4
159,4
160,6
161,4
162,6
163,4
164,4
165,5
166,4
167,4
168,4
169,4
170,4
171,4
172,4
173,4
174,6
175,4
176,4
177,7
178,4
179,7
180,4
181,4
182,6
183,7
184,4
185,6
186,4
187,4
188,4
189,4
190,4
191,4
192,7
193,4
194,4
195,4
196,4
197,6
198,7
199,6
200,4
201,4
202,7
203,4
204,4
205,4
206,6
207,6
208,4
209,4
210,4
211,4
212,6
213,6
214,4
215,4
216,5
217,7
218,4
219,4
220,4
221,4
222,4
223,6
224,4
225,6
226,7
227,7
228,6
229,4
230,4
231,4
232,7
233,4
234,4
235,4
236,4
237,4
238,4
239,4
240,4
241,4
242,4
243,4
244,4
245,4
246,4
247,6
248,4
249,4
250,4
251,11
252,6
253,4
254,4
255,4
256,4
257,4
258,4
259,4
260,4
261,4
262,4
263,4
264,4
265,8
266,4
267,4
268,4
269,8
270,4
271,4
272,4
273,4
274,4
275,6
276,6
277,6
278,4
279,4
280,4
281,6
282,5
283,4
284,4
285,4
286,4
287,6
288,7
289,4
290,4
291,4
292,4
293,4
294,4
295,4
296,4
297,4
298,6
299,4
300,7
301,4
302,4
303,4
304,6
305,4
306,9
307,7
308,4
309,6
310,4
311,6
312,6
313,7
314,4
315,4
316,4
317,6
318,8
319,6
320,4
321,4
322,6
323,4
324,4
325,7
326,4
327,4
328,4
329,4
330,5
331,8
332,4
333,6
334,4
335,6
336,6
337,6
338,7
339,4
340,6
341,6
342,7
343,4
344,4
345,7
346,6
347,4
348,6
349,7
350,4
351,4
352,4
353,7
354,4
355,7
356,4
357,6
358,6
359,7
360,4
361,6
362,6
363,6
364,6
365,4
366,6
367,4
368,4
369,4
370,7
371,4
372,8
373,7
374,8
375,6
376,8
377,9
378,7
379,6
380,7
381,4
382,4
383,4
384,6
385,4
386,7
387,4
388,6
389,6
390,6
391,8
392,4
393,6
394,7
395,4
396,4
397,4
398,4
399,4
400,4
401,6
402,7
403,11
404,7
405,7
406,6
407,7
408,7
409,4
410,4
411,4
412,4
413,4
414,7
415,7
416,7
417,4
418,8
419,4
420,7
421,4
422,4
423,4
424,7
425,4
426,4
427,6
428,4
429,7
430,4
431,4
432,4
433,7
434,4
435,7
436,4
437,4
438,4
439,6
440,6
441,4
442,5
443,4
444,4
445,7
446,4
447,6
448,4
449,4
450,7
451,4
452,4
453,6
454,9
455,7
456,6
457,7
458,4
459,5
460,4
461,9
462,4
463,6
464,6
465,7
466,7
467,6
468,4
469,7
470,7
471,4
472,4
473,6
474,9
475,4
476,4
477,6
478,4
479,7
480,6
481,6
482,4
483,4
484,4
485,4
486,5
487,7
488,4
489,7
490,4
491,6
492,6
493,7
494,4
495,7
496,4
497,8
498,9
499,7
500,4
501,4
502,7
503,4
504,4
505,7
506,7
507,4
508,7
509,7
510,6
511,4
512,4
513,4
514,6
515,6
516,6
517,6
518,4
519,4
520,6
521,7
522,7
523,7
524,4
525,7
526,7
527,4
528,4
529,7
530,7
531,6
532,7
533,4
534,4
535,9
536,6
537,9
538,6
539,9
540,6
541,6
542,7
543,6
544,6
545,6
546,4
547,4
548,5
549,4
550,7
551,4
552,4
553,7
554,6
555,7
556,7
557,4
558,4
559,7
560,6
561,6
562,4
563,6
564,9
565,4
566,6
567,4
568,6
569,7
570,6
571,6
572,6
573,6
574,5
575,13
576,6
577,4
578,6
579,4
580,4
581,8
582,7
583,7
584,4
585,4
586,6
587,4
588,6
589,4
590,6
591,7
592,7
593,6
594,6
595,4
596,8
597,7
598,6
599,4
600,6
601,4
602,4
603,6
604,6
605,6
606,4
607,5
608,6
609,6
610,4
611,6
612,6
613,6
614,4
615,6
616,6
617,4
618,6
619,6
620,7
621,6
622,4
623,4
624,4
625,7
626,4
627,7
628,4
629,7
630,6
631,4
632,6
633,7
634,8
635,6
636,4
637,4
638,7
639,4
640,6
641,6
642,4
643,4
644,6
645,4
646,7
647,6
648,6
649,6
650,4
651,6
652,4
653,7
654,7
655,6
656,6
657,4
658,4
659,4
660,4
661,6
662,6
663,9
664,7
665,10
666,6
667,9
668,4
669,7
670,7
671,4
672,4
673,7
674,4
675,6
676,4
677,6
678,7
679,4
680,6
681,4
682,7
683,6
684,6
685,4
686,7
687,6
688,9
689,7
690,8
691,4
692,7
693,7
694,4
695,7
696,7
697,8
698,7
699,6
700,7
701,6
702,6
703,7
704,6
705,7
706,8
707,9
708,6
709,6
710,6
711,7
712,4
713,4
714,8
715,8
716,6
717,6
718,4
719,6
720,7
721,9
722,9
723,6
724,9
725,6
726,9
727,8
728,4
729,8
730,6
731,4
732,7
733,13
734,4
735,4
736,4
737,8
738,4
739,8
740,6
741,8
742,6
743,4
744,9
745,10
746,9
747,6
748,6
749,12
750,7
751,4
752,4
753,7
754,4
755,8
756,8
757,9
758,9
759,8
760,4
761,4
762,8
763,9
764,9
765,4
766,13
767,4
768,6
769,9
770,6
771,4
772,4
773,6
774,4
775,4
776,5
777,9
778,9
779,13
780,13
781,8
782,9
783,4
784,8
785,8
786,8
787,4
788,6
789,4
790,13
791,8
792,9
793,9
794,8
795,13
796,8
797,8
798,4
799,8
800,4
801,13
802,6
803,6
804,4
805,4
806,4
807,9
808,4
809,8
810,6
811,8
812,9
813,4
814,9
815,9
816,8
817,6
818,4
819,4
820,4
821,13
822,9
823,8
824,7
825,6
826,4
827,8
828,6
829,13
830,4
831,4
832,6
833,6
834,4
835,4
836,8
837,8
838,8
839,9
840,13
841,4
842,9
843,9
844,4
845,4
846,13
847,13
848,4
849,8
850,4
851,4
852,8
853,6
854,8
855,9
856,7
857,5
858,4
859,4
860,4
861,13
862,8
863,9
864,4
865,8
866,6
867,9
868,7
869,12
870,9
871,19
872,8
873,6
874,4
875,13
876,8
877,8
878,13
879,8
880,8
881,9
882,8
883,5
884,4
885,8
886,13
887,6
888,8
889,7
890,13
891,9
892,13
893,8
894,4
895,4
896,8
897,9
898,9
899,8
900,4
901,4
902,8
903,9
904,6
905,9
906,4
907,8
908,4
909,8
910,4
911,8
912,4
913,4
914,6
915,8
916,4
917,4
918,9
919,4
920,4
921,4
922,8
923,11
924,4
925,13
926,4
927,4
928,6
929,12
930,6
931,4
932,4
933,8
934,9
935,9
936,8
937,6
938,13
939,6
940,9
941,8
942,8
943,4
944,4
945,13
946,6
947,8
948,6
949,8
950,4
951,4
952,6
953,10
954,13
955,7
956,13
957,4
958,8
959,4
960,6
961,9
962,8
963,9
964,8
965,13
966,9
967,4
968,8
969,13
970,13
971,4
972,6
973,4
974,9
975,6
976,4
977,8
978,7
979,4
980,4
981,8
982,9
983,6
984,4
985,4
986,13
987,8
988,4
989,4
990,4
991,9
992,9
993,8
994,4
995,4
996,4
997,6
998,4
999,4
1000,13
1001,8
1002,4
1003,4
1004,8
1005,4
1006,11
1007,8
1008,8
1009,9
1010,4
1011,6
1012,6
1013,4
1014,4
1015,9
1016,8
1017,13
1018,4
1019,4
1020,9
1021,13
1022,6
1023,5
1024,9
1025,8
1026,6
1027,4
1028,7
1029,4
1030,9
1031,8
1032,9
1033,8
1034,9
1035,13
1036,9
1037,9
1038,4
1039,4
1040,6
1041,13
1042,13
1043,4
1044,8
1045,8
1046,8
1047,7
1048,4
1049,6
1050,8
1051,12
1052,7
1053,9
1054,12
1055,7
1056,4
1057,9
1058,6
1059,8
1060,6
1061,7
1062,6
1063,6
1064,4
1065,4
1066,9
1067,12
1068,4
1069,11
1070,4
1071,4
1072,8
1073,7
1074,8
1075,9
1076,6
1077,8
1078,8
1079,8
1080,13
1081,4
1082,6
1083,4
1084,8
1085,13
1086,8
1087,4
1088,7
1089,6
1090,13
1091,13
1092,9
1093,8
1094,4
1095,8
1096,13
1097,13
1098,7
1099,4
1100,8
1101,8
1102,7
1103,6
1104,11
1105,13
1106,6
1107,12
1108,6
1109,12
1110,13
1111,4
1112,4
1113,6
1114,10
1115,6
1116,9
1117,4
1118,4
1119,5
1120,4
1121,4
1122,6
1123,6
1124,4
1125,9
1126,13
1127,6
1128,4
1129,6
1130,8
1131,9
1132,4
1133,12
1134,4
1135,4
1136,12
1137,13
1138,6
1139,4
1140,8
1141,9
1142,12
1143,13
1144,12
1145,4
1146,6
1147,7
1148,13
1149,8
1150,8
1151,6
1152,9
1153,6
1154,20
1155,6
1156,11
1157,13
1158,4
1159,13
1160,11
1161,8
1162,13
1163,13
1164,5
1165,6
1166,8
1167,13
1168,13
1169,13
1170,13
1171,11
1172,9
1173,4
1174,8
1175,13
1176,6
1177,6
1178,6
1179,13
1180,9
1181,4
1182,9
1183,6
1184,8
1185,7
1186,8
1187,8
1188,13
1189,8
1190,12
1191,7
1192,5
1193,4
1194,12
1195,8
1196,12
1197,12
1198,5
1199,4
1200,10
1201,12
1202,6
1203,13
1204,4
1205,4
1206,4
1207,6
1208,8
1209,13
1210,10
1211,12
1212,9
1213,6
1214,6
1215,13
1216,8
1217,6
1218,4
1219,12
1220,9
1221,13
1222,6
1223,13
1224,8
1225,12
1226,4
